,2mem_BtCv_12pt5hr-1,2mem_BtCv_12pt5hr-2,2mem_BtCv_12pt5hr-3,2mem_BtCv_12pt5hr-4,2mem_BtCv_25hr-1,2mem_BtCv_25hr-2,2mem_BtCv_25hr-3,2mem_BtCv_25hr-4,2mem_BtCv_30hr-1,2mem_BtCv_30hr-2,2mem_BtCv_30hr-3,2mem_BtCv_30hr-4,2mem_BtCv_35hr-1,2mem_BtCv_35hr-2,2mem_BtCv_35hr-3,2mem_BtCv_35hr-4,2mem_BtCv_40hr-1,2mem_BtCv_40hr-2,2mem_BtCv_40hr-3,2mem_BtCv_40hr-4,2mem_BtCv_45hr-1,2mem_BtCv_45hr-2,2mem_BtCv_45hr-3,2mem_BtCv_45hr-4,2mem_BtPs_12pt5hr-1,2mem_BtPs_12pt5hr-2,2mem_BtPs_12pt5hr-3,2mem_BtPs_12pt5hr-4,2mem_BtPs_25hr-1,2mem_BtPs_25hr-2,2mem_BtPs_25hr-3,2mem_BtPs_25hr-4,2mem_BtPs_30hr-1,2mem_BtPs_30hr-2,2mem_BtPs_30hr-3,2mem_BtPs_30hr-4,2mem_BtPs_35hr-1,2mem_BtPs_35hr-2,2mem_BtPs_35hr-3,2mem_BtPs_35hr-4,2mem_BtPs_40hr-1,2mem_BtPs_40hr-2,2mem_BtPs_40hr-3,2mem_BtPs_40hr-4,2mem_BtPs_45hr-1,2mem_BtPs_45hr-2,2mem_BtPs_45hr-3,2mem_BtPs_45hr-4,2mem_CvPs_12pt5hr-1,2mem_CvPs_12pt5hr-2,2mem_CvPs_12pt5hr-3,2mem_CvPs_12pt5hr-4,2mem_CvPs_25hr-1,2mem_CvPs_25hr-2,2mem_CvPs_25hr-3,2mem_CvPs_25hr-4,2mem_CvPs_30hr-1,2mem_CvPs_30hr-2,2mem_CvPs_30hr-3,2mem_CvPs_30hr-4,2mem_CvPs_35hr-1,2mem_CvPs_35hr-2,2mem_CvPs_35hr-3,2mem_CvPs_35hr-4,2mem_CvPs_40hr-1,2mem_CvPs_40hr-2,2mem_CvPs_40hr-3,2mem_CvPs_40hr-4,2mem_CvPs_45hr-1,2mem_CvPs_45hr-2,2mem_CvPs_45hr-3,2mem_CvPs_45hr-4,3mem_Full_12pt5hr-1,3mem_Full_12pt5hr-2,3mem_Full_12pt5hr-3,3mem_Full_12pt5hr-4,3mem_Full_25hr-1,3mem_Full_25hr-2,3mem_Full_25hr-3,3mem_Full_25hr-4,3mem_Full_30hr-1,3mem_Full_30hr-2,3mem_Full_30hr-3,3mem_Full_30hr-4,3mem_Full_35hr-1,3mem_Full_35hr-2,3mem_Full_35hr-3,3mem_Full_35hr-4,3mem_Full_40hr-1,3mem_Full_40hr-2,3mem_Full_40hr-3,3mem_Full_40hr-4,3mem_Full_45hr-1,3mem_Full_45hr-2,3mem_Full_45hr-3,3mem_Full_45hr-4
1.002481237/223.1706523,1.1860267,1.3648923,1.3995095,0.8508786,0.8728324,1.8355641,1.5008177,0.9860415,0.8050617,2.705712,1.5710988,1.8427948,0.8859157,1.9786526,2.2935996,0.7944472,0.642569,2.6089716,2.1458871,0.7271855,1.0087509,2.764295,2.5871783,0.7765044,1.1050346,1.2672849,1.4045101,0.4841574,2.5733678,4.8826162,2.0092309,1.8557201,1.6081841,2.3086629,1.9581041,1.7243832,0.6177777,2.8044627,2.799687,2.5120613,0.8085224,2.3465797,2.3652192,4.1110532,0.8070368,2.8654019,2.6735799,2.811409,0.7329969,1.9704182,1.2782499,0.8516384,0.7996389,1.2262565,1.6611629,0.981164,0.6707287,1.243011,1.5897825,0.641773,1.0409866,1.1970911,1.6049762,0.7943011,0.8693077,1.2312127,1.9587584,1.2140322,0.8933274,1.4017958,1.4584668,0.8975278,0.8205647,1.0674612,1.3535868,0.5683041,1.7991002,2.0619511,1.3033856,1.5518737,0.8001744,1.4666011,2.1708973,2.4365918,0.983562,2.4713818,2.3931708,2.6928623,1.5936721,1.9993104,2.5093384,0.9576162,0.9478984,3.8219928,3.4818358,1.4607152
8.053924013/298.9902264,6.196618,4.321187,4.047609,5.29468,2.41785,5.380685,5.828207,4.057544,3.739763,2.376678,5.930986,5.859525,4.998075,6.153787,4.128589,5.272989,5.03881,3.389781,5.220867,7.010218,3.474185,4.141156,5.108976,7.165056,6.700817,4.501432,4.945148,3.5744,1.769553,5.353536,5.086311,4.223451,3.41953,4.383884,6.484595,3.799791,3.118024,3.803845,2.974652,4.05967,3.626866,3.780889,4.51798,6.86098,4.135484,3.830277,5.273247,5.464434,6.304212,3.944436,3.353298,3.451617,3.905891,3.496022,4.242968,5.232271,3.910342,4.827528,4.425238,4.412204,3.28626,3.836337,4.190153,2.004781,2.950996,2.963294,3.094584,3.409321,1.513949,2.87733,5.050326,3.159681,7.796034,5.090853,8.545562,4.87976,6.42841,5.172212,7.394303,3.904128,1.43433,5.70892,6.434316,6.183394,2.759411,1.77573,4.536544,6.294236,6.546296,3.177944,6.144078,4.58327,8.669191,5.434591,3.838974,6.206215
1.632050991/341.0611762,1.0393094,2.9995684,2.0872419,1.4254075,0.8840702,1.5327037,1.8594622,0.5886626,0.6150519,1.9645872,1.5674673,1.6089342,0.860989,5.5453653,1.5032892,1.3344589,0.6453434,3.3746626,1.9523484,2.0605627,1.8452303,4.0042645,2.7749003,2.3766076,0.7792396,2.7199806,3.7255358,0.8837796,1.2742468,2.5183639,2.5487912,2.023248,0.9333769,2.4636527,3.4225323,0.8433604,1.5546428,3.1167614,1.7905849,1.0738217,0.9660535,3.2459942,2.9135444,2.590972,0.9722263,4.9283688,2.6753566,1.5109326,0.5611686,1.1121805,0.7619886,0.6431731,0.6655193,1.1369447,0.8973143,1.8576088,0.5568634,1.0232597,0.8721278,0.8391171,0.5811428,0.8232934,0.7498858,0.6596338,0.5633906,1.1049928,1.3715605,0.9496398,0.6625597,1.1528405,1.0853871,0.6660826,0.679629,2.1764402,0.9566058,0.5052374,0.6423419,2.0781617,0.8814103,0.6604266,0.9523922,2.8623275,2.2655568,4.2766984,1.3638894,3.6811342,2.6846558,2.6485963,1.4095344,3.3512776,2.9565653,1.1199431,1.467678,2.7596799,4.3583027,1.1604214
5.055937789/387.2341812,3.5598807,5.6996043,4.731077,3.0464685,2.2276547,3.4410674,3.9423561,3.6250459,1.7837098,6.4743503,3.9753372,6.8028514,1.3261837,5.9520276,5.7443122,3.1584828,1.6693329,5.783063,6.5257706,5.0820515,7.9898894,8.2791926,6.7509496,5.3705961,2.763871,3.2432897,3.1626907,2.4789306,3.8029235,5.8414481,3.7207014,6.7037031,1.9340775,6.4934218,5.1669656,3.5447819,2.9583982,7.2731569,5.1848314,5.380298,3.0282393,8.0092827,5.1991764,7.6509609,3.001153,6.2304871,5.7182097,4.8715127,0.2904378,0.3329442,0.3267169,0.2644968,0.2645109,0.3218913,0.3313626,0.2719571,0.2632454,0.3288709,0.6191241,0.2782582,0.295113,0.3084855,0.3525644,0.2742331,0.3181688,0.3217139,0.3300167,0.357946,0.302711,0.3239257,0.3699955,0.2729964,3.1170949,3.1825268,2.3067703,2.2175275,2.3406436,5.2634474,4.115137,4.3990736,2.6907355,5.5135647,4.4842281,8.4931122,3.3534048,6.6322442,4.980205,7.7542708,1.630307,4.546248,6.6834014,6.4895371,3.9033064,8.6262531,3.0139126,6.0675122
5.377043062/436.2116573,0.30245,0.3008382,0.3141289,0.3027176,0.2241531,0.66548,0.3228579,0.3013447,0.6322821,1.213344,0.8216032,0.7393108,0.6348664,1.7628638,1.2853844,1.318622,0.8071911,2.1841714,1.7879193,0.9405305,2.9854583,4.2652534,1.981576,1.485485,0.3139767,0.3100124,0.3205776,0.2499869,0.4608764,0.2831286,0.5777451,0.6595644,0.2577474,0.3029999,0.5938598,0.3319759,0.4883912,0.7076974,1.0470329,0.5663622,0.2141944,0.7038072,0.6491709,1.2433312,0.3786016,0.6297703,1.3364097,1.2486659,0.2745299,0.3147082,0.308822,0.2500098,0.2500231,0.6498915,0.3132132,0.2570615,0.248827,0.310858,0.2975002,0.2630174,0.2789491,0.2915892,0.3332538,0.2592129,0.3007421,0.304093,0.3119411,0.3383406,0.2861309,0.3061837,0.3497302,0.2580439,0.3342042,0.2981031,0.3139789,0.2977719,0.5975511,2.1694889,0.6330856,1.3722629,0.7354546,3.1093606,1.3157789,3.0636506,1.4830581,2.5378642,1.3981627,3.8426221,1.4601965,2.6435208,2.1425028,2.9599816,1.7974755,5.9828111,2.9622838,1.6755007
4.355616862/304.1115254,2.6579025,1.9086364,4.0706503,4.7084283,2.734005,6.3849362,3.8194938,3.7467239,2.6215728,3.6612655,2.9585402,5.7908544,3.0322808,5.3039423,3.5435021,1.5895108,2.0239664,2.775589,2.813774,3.4091038,1.7471608,3.5659142,1.9651433,1.5078604,3.4815306,1.7507419,4.3097606,2.2210935,3.4736652,2.6480299,4.2307535,6.6399114,2.5532101,5.3941625,3.4393292,4.4066264,1.6111242,1.2489016,4.614591,2.69279,2.2429859,6.6229762,2.9895664,2.9094294,2.2767997,3.610958,3.8928948,2.5908476,0.2703092,0.3098697,0.304074,0.246166,0.4884578,0.2995829,0.3083977,0.2531093,0.2450014,0.6161947,0.6433356,0.2589737,0.5236492,0.6606305,0.6532586,0.2552276,0.2961183,0.7207169,0.3071451,0.3331388,0.2817318,0.7774844,0.6860249,0.2540766,3.8504052,2.3611801,4.4437315,3.168405,2.7389233,2.8707073,3.7337473,1.0912292,2.7756536,4.2436174,2.7563036,3.4280316,2.1939894,3.6530487,3.1671924,2.7253122,1.7910531,1.5820933,3.1411499,1.7977177,2.8658247,3.4112655,2.977844,1.8251986
1.008155828/415.1803118,3.3170299,2.6225374,4.9342404,4.4006003,5.3248296,8.7055618,8.5184998,8.087166,4.6408286,9.3216064,8.7084233,10.9732651,4.4683004,10.1706738,8.6542871,8.0362593,5.5402036,11.1753732,8.9052739,7.2439125,4.9289514,7.6580139,9.2543347,7.1231189,2.1225817,2.6781439,1.8925934,3.0267621,3.2275556,6.5576673,6.9955401,7.1250902,4.1862163,6.4485656,8.0942615,5.8534238,3.6868679,6.0585805,5.5946344,6.2358294,3.0825295,5.6293917,6.7082619,9.5019192,2.0471614,4.6162084,6.1095374,5.9134006,0.5541644,0.8204962,0.9038785,0.5345323,0.5701224,0.8449313,0.8411236,0.6047596,0.5225797,1.0607722,1.0305753,0.5099786,0.5288951,1.1830782,1.0291935,0.6927593,0.4744029,0.8945399,1.4257578,1.0372896,0.2639538,0.9191569,1.5451974,0.2380437,6.5357936,7.5560508,7.2573876,5.2564905,4.970462,15.0729311,12.3877615,10.3376892,5.4376135,15.0697222,14.1345912,16.506099,6.0025482,15.9040867,14.4246146,16.0348748,4.7124663,15.1780123,15.1858436,10.4349866,6.5184503,15.9057987,2.3375227,9.4356724
12.23846892/892.4505238,1.0174995,1.5549807,1.7836038,2.8396317,1.9727881,1.8945943,1.4972764,1.2704724,1.5187167,3.4691249,2.0348933,4.8912378,1.5573866,2.9593782,2.5290514,2.3879031,2.0050637,5.4755372,3.3627934,3.6339217,3.7505741,8.1863397,3.6689972,3.657043,0.8046002,1.3634826,1.5885647,0.9141964,1.3254388,4.1747446,2.4601462,2.2359675,1.0559415,3.040275,2.6143207,2.8663114,1.2978674,5.8265605,3.1535344,2.1483698,1.4740375,4.72919,4.1143463,6.2997059,1.8986829,6.0984279,4.7640127,4.1455795,0.3663091,0.4199195,0.4120655,0.3335915,0.3336093,0.4059793,0.4179248,0.3430007,0.3320133,0.4147822,0.3969587,0.3509478,0.3722057,0.3890715,0.4446651,0.3458713,0.4012843,0.4057555,0.4162273,0.4514525,0.3817885,0.4085451,0.4666498,0.3443115,0.816149,1.195435,1.3810164,1.0675321,1.9265756,3.7324981,1.9633222,3.1322621,1.4055459,3.5845398,4.1525711,6.7507316,3.0095165,6.3579876,5.2746982,7.4400154,2.8930614,6.7264772,7.5180121,5.5387277,2.9461624,9.9895604,2.0668067,4.5896762
1.748322378/332.0598046,5.5007958,5.7393924,8.2230645,8.2728023,2.1342816,8.7118738,9.2244779,5.8937017,5.5272877,9.4821013,7.673663,10.8541815,5.1147923,8.6372396,8.5133604,5.4872448,2.2824931,8.6669362,8.8862197,7.5199411,4.692363,7.7555863,9.541333,6.5305444,4.8890083,5.0049168,6.4992021,4.2727787,3.6066494,3.1272935,6.2647073,6.8100764,3.7987105,6.5041645,6.9384095,4.1397889,3.3840893,3.2242181,5.9148562,4.334508,2.8584988,8.9142093,7.1037169,6.692704,2.9766826,6.019866,5.6595976,4.4770599,4.1499159,7.153367,6.5501701,4.1863487,2.7329663,3.8415386,6.5903132,3.9434868,2.802307,3.7233002,5.486544,3.3578512,1.698045,3.4476605,6.8490585,3.7380315,3.4227215,4.7786355,5.5540786,7.2346231,2.7934509,5.4081995,8.196645,4.3868289,5.3786167,5.5511958,6.2622,4.5192039,4.9257059,6.0635274,6.9190423,4.3310251,5.4997396,6.8968124,7.5764349,10.0380761,5.5073387,5.8516173,7.9587634,1.83144,1.3553668,3.3877674,8.7796153,1.2292256,5.8488241,4.96943,1.8386325,1.2852093
5.028060922/277.1562246,2.8627367,3.2442078,3.28985,3.632476,2.3987352,3.8802733,4.3579125,2.1909481,2.939106,5.7793783,5.4465765,4.5254367,2.0319287,5.3789293,4.9361302,3.6582062,3.1601682,6.440032,5.4362715,3.2828292,5.0739157,7.7429866,6.6015806,3.0780036,2.1861212,3.1325181,3.7696608,1.8646793,2.7104286,4.2567939,4.4519009,3.8902773,1.4186096,4.8210497,5.6426427,1.924992,1.6480396,4.8470721,6.0183518,3.5664556,1.6081488,5.9890145,6.1301072,6.4976711,1.6154714,4.4921949,6.418694,4.7596049,1.5804597,2.0609955,1.1656191,1.1513342,0.7957986,2.0237743,2.2218984,0.9442227,1.211575,2.6154352,2.6934317,1.0323606,1.5966068,3.3889828,3.3857429,2.2010812,2.4220517,3.4266601,4.7524982,2.2349893,1.7931619,4.4650125,4.3261538,1.2805782,2.8337612,3.5162807,2.9849311,2.3303754,2.4837915,2.6902956,3.3852619,3.4324799,1.4602198,4.0645937,4.1482851,3.8856714,2.695388,4.8365878,4.9941935,5.0410204,2.0826084,9.873543,6.6203717,4.0966069,2.0256656,6.7431625,2.4994155,3.1741921
4.160709899/282.129606,1.8320262,1.1296083,5.0334114,5.3999483,3.8562901,7.1193492,6.0321668,5.6242135,2.6535461,9.0773245,5.0687557,14.2116503,3.6664965,8.554913,7.6365294,7.2122945,5.4698386,7.4178163,9.5879666,8.6449372,2.2499425,8.053413,8.4806446,6.5936027,2.2659795,1.3582384,3.6644382,3.6501981,2.4272157,1.5861705,4.9321723,10.9153457,2.7224356,6.5256513,8.3051018,5.3545233,4.7677583,2.034702,6.4362018,6.9439436,2.0982931,8.0369277,7.927022,11.0753254,2.5674236,5.8902884,5.8861827,8.5706299,0.2726546,0.3125584,0.3067124,0.4862296,0.4996709,0.7697541,0.3110736,0.5653208,1.2684279,0.6436932,0.295468,0.655075,1.2003094,0.2895973,0.3309773,1.0121853,0.2986877,1.5714093,0.8655872,0.9540088,1.0344244,0.8072667,0.7081982,0.721087,2.7951807,2.2608269,3.1993553,2.5626853,2.1403753,5.3812755,4.3544714,6.008519,2.653257,8.5566603,8.1203431,14.9643552,3.4921433,7.4513959,9.7195561,16.7831291,7.3043119,5.9617858,11.0259016,8.7968174,4.9311781,8.6622364,2.4294822,8.8341327
3.996559421/535.1038324,3.7253829,6.5977789,6.8996263,5.3388545,3.2628404,4.7951832,7.2216617,3.2779861,3.5670879,5.018568,4.133938,6.9877588,2.8003784,4.9049069,7.5239033,3.4965031,5.1910078,7.0271317,6.0896368,2.4009863,3.0638635,5.108149,6.5639816,2.1177045,1.5827488,5.5767601,7.5604643,1.985517,3.9732399,5.3358966,6.9807328,5.453159,3.5459101,7.3652648,7.4742152,1.8736469,3.3780125,6.3501726,6.493595,4.1402102,3.353241,7.1369816,5.4871466,7.4623494,3.9710959,8.8399542,7.4786109,3.4648567,0.2806858,0.3217649,0.3157468,0.2556158,0.2556294,0.5339354,0.3202365,0.5886214,0.6129962,0.9418604,1.2155674,0.6873546,0.2852041,1.4548099,0.8219914,0.800161,0.5340968,1.3348438,0.8611796,0.3459273,0.8886437,1.1103785,0.9415741,1.2657511,2.4100075,5.0436725,3.8046188,2.595705,2.6451164,2.6882455,5.2729384,3.3442532,3.3053665,5.8861307,6.6829584,1.9744543,5.8177152,5.8507623,6.9290696,7.1549326,5.9116226,2.8932523,6.5758911,5.4219803,6.4418267,4.8488371,1.7009373,2.9235099
4.950317995/670.9874177,2.4783441,3.539839,4.4652167,3.161217,2.2907701,4.3045677,5.2612317,2.7303485,1.8501311,5.9317945,3.5224153,2.6314197,1.5239985,5.4597642,3.4841916,0.9934362,2.1149841,3.6286808,4.9804751,3.3015383,1.3151735,3.5382397,3.7340132,1.7594256,2.6600544,3.1260181,5.423503,2.6946689,2.6296812,2.4555572,5.1025668,4.0758636,2.8842815,3.4311967,5.8813174,2.6345945,2.7136236,1.1421292,3.9263244,2.6764014,1.5998518,5.7157604,2.7080274,3.1773036,1.2784007,3.142641,3.4606233,2.2999294,0.2837522,0.3252802,0.3191963,0.2584084,0.2584222,0.3144818,0.323735,0.2656969,0.2571858,0.3213007,0.3074942,0.271853,0.2883199,0.3013846,0.3444488,0.2679206,0.3108449,0.3143084,0.3224201,0.3497065,0.295743,0.3164693,0.3614787,0.2667124,1.7408965,1.6378517,2.6465572,2.1487594,2.7754965,3.4515152,5.4516748,1.2722725,1.8979985,4.2284471,4.421013,3.362005,1.5646596,3.5051264,4.3309161,4.8746585,1.4314064,1.5039058,5.6027618,2.1501128,2.6351423,3.8654154,1.4179297,2.228019
1.918899385/1031.142028,0.4299573,0.4276659,0.4465598,0.4303378,0.3186519,0.4804387,0.4589687,0.4283861,0.3121054,0.4526044,0.4344765,0.4615578,0.3443933,0.4725824,0.4296698,0.3852481,0.3222814,0.4323083,0.4808823,0.4860979,0.320508,0.4533672,0.471208,0.3753747,0.4463435,0.4407079,0.4557272,0.3553768,0.3312791,0.4024904,0.4515264,0.4293281,0.3664089,0.430739,0.4610769,0.4719308,0.3467191,0.3954483,0.44263,0.354571,0.3044948,0.481128,0.4626335,0.4391193,0.3082807,0.4423677,0.4333044,0.371353,0.3902667,0.4473833,0.4390157,0.3554093,0.6077737,1.4589729,2.7774561,1.1693911,0.651837,1.8758861,3.1018462,2.768068,1.1208559,2.0678599,3.9116806,3.2311913,0.9511436,2.2803265,1.9765421,3.4975918,1.5651838,2.3404579,2.3388794,2.1159755,0.4750985,0.4237778,0.4463466,0.423307,0.3499679,0.4364622,0.4585711,0.352524,0.3688671,0.4612635,0.4448849,0.4481525,0.3859604,0.4397765,0.4476079,0.4751366,0.3298915,0.4453357,0.4763275,0.3489322,0.4038998,0.4346766,0.411818,0.3623608
3.594313318/309.0380994,0.5715991,0.544604,0.3005671,0.2896485,0.4179254,0.3233701,0.3089193,0.5325223,0.3902693,0.3046356,0.6694929,0.5625411,0.4384763,0.7438867,0.2891989,0.2592999,0.4449003,0.2909749,0.3236687,0.3271792,0.2157251,0.6457309,0.3171572,0.4888373,0.5264368,0.5635931,0.3067374,0.2391943,0.4604754,1.9535472,1.1387695,1.4335357,0.534497,0.6142516,1.4009544,0.543163,0.518047,0.8862094,1.6188017,0.5478943,0.427884,0.323834,1.0736709,2.1828775,0.4124081,0.7161057,0.7807993,0.8232933,1.8623985,4.2614121,3.2147987,1.9828096,2.0048495,3.8026312,9.2203828,6.1746992,4.3725712,5.142582,8.5457675,5.854734,5.5451385,9.4630726,13.3319046,7.9914203,7.2727506,10.3355086,9.9041916,12.9833309,5.9014682,5.721245,9.1859229,9.3062108,0.3197758,0.6116722,0.3004236,0.2849163,0.4712845,0.8971888,0.9035598,0.5006659,0.473962,0.6016454,0.8528494,1.5762263,0.5349039,0.6414127,0.7879524,1.3430188,0.5068166,1.0440336,0.8991683,0.5283852,0.2718539,0.8937393,1.1952948,0.605115
3.427218473/85.02932168,4.248867,4.309172,3.918246,4.198855,4.389063,4.26176,5.921727,4.195558,2.413214,4.034728,3.347918,5.333679,3.694549,4.004769,3.722886,4.103218,4.097618,3.2904,4.935504,3.59015,2.646826,4.596016,5.530223,4.653175,6.469512,6.373247,4.992535,4.410323,6.500465,5.958006,5.807687,5.10535,6.164344,5.481897,5.252692,5.136687,5.310233,4.875282,5.583765,5.004406,6.128716,4.623029,6.864363,5.990711,5.953173,6.695319,5.979806,5.147801,3.04337,4.059169,2.718734,2.29071,4.66888,3.965604,3.94154,2.692597,4.934792,3.878568,3.374458,2.821734,3.932227,5.071662,4.10922,3.091001,3.219149,4.88619,5.857357,4.370339,3.58029,4.050787,5.412489,3.48168,4.367411,4.655768,2.847608,5.50721,7.038078,4.65206,2.279451,3.996079,7.034733,3.931774,3.773083,5.706516,7.028444,4.460317,3.761754,6.269246,3.789508,5.007827,4.461387,3.329196,3.671718,4.642753,5.980534,4.533993
2.526500624/454.0534842,1.6107203,3.9991533,3.6434272,5.0223827,2.8332888,3.8441355,4.2725744,2.9922044,1.6835974,5.1813816,3.9715735,6.3172899,1.9288969,7.4174022,4.2992467,3.7493002,2.7539726,6.6199241,4.2002769,2.9601367,3.6487894,4.5596288,3.6289231,2.3105383,1.463813,3.3108604,3.1118463,2.7380339,2.1476681,2.8476195,3.7273824,7.2035823,1.7109824,5.2787125,4.4561716,3.7685171,2.444062,2.2664371,5.7936148,3.3999741,1.5505777,5.3972049,5.3495934,6.7189571,2.429961,5.2316115,3.4540807,4.6346866,0.2802211,0.3212323,0.3152241,0.4805365,0.2552062,0.5918632,0.3197063,0.2623905,0.4962999,0.6259894,0.3036676,0.2684699,0.2847319,0.6168514,0.3401623,0.2645865,0.3069766,0.310397,0.6426512,0.7740991,0.2920626,0.7059039,0.3569803,0.2633933,1.3824168,4.1092363,2.630654,1.7783262,1.7780029,4.9843736,2.6807236,1.2661503,1.3184822,5.5386304,2.9837456,4.6204697,2.1818627,4.084483,3.1378522,7.7346324,3.420696,2.9326698,4.5492935,4.0741365,1.7085476,5.735555,2.9634836,2.2200795
1.210345295/354.1568107,0.6976187,1.1734605,1.3783682,0.7203768,0.7669111,0.8619386,0.8758561,0.7950827,0.5401041,1.0563867,1.2731446,3.3282496,0.2333118,0.6677953,1.2225517,0.7929191,0.6386623,0.7236813,1.8885596,0.6301728,0.4550733,0.9422018,0.9811119,0.6346345,0.7574469,1.1977235,0.8388145,0.6038788,0.9581738,1.3224444,1.9396864,3.0601318,2.0142911,1.3942556,1.9343226,1.1985358,1.4623548,1.6198253,3.0759016,1.886491,1.2401856,1.36546,4.4026988,3.6498868,0.6720317,0.7158726,3.2128598,1.0963759,0.264389,1.1504275,0.9166461,0.8918701,0.6507114,0.8616177,0.9263215,0.9515328,0.6990004,0.863617,1.3138288,0.9106629,0.8240515,1.0536703,1.6868785,0.9659051,0.9421775,0.7718455,0.3004183,1.5385565,0.8158677,0.7176172,0.8404061,0.8604448,0.8201419,1.157197,0.588656,0.6314861,2.924246,1.4517782,1.0806894,1.3442696,2.5874393,2.0559882,1.997787,3.5842109,3.0729546,1.6762107,1.3136524,3.7630385,2.0513711,2.7707912,1.7485915,0.7254174,2.8873432,1.5586364,1.7973395,0.8536153
2.737639986/578.1324668,0.8994397,1.478142,1.6670934,1.4773189,0.6520259,2.319905,2.3401932,0.8709347,0.6168555,3.325065,2.2401025,2.793743,0.6774061,3.4808318,3.242324,1.6988462,1.2361143,3.5077281,3.2404495,1.1564608,1.7619756,2.6826147,2.6787291,1.830143,0.6460388,1.3984613,1.1651437,0.5268768,1.0212429,3.0925685,1.9453431,1.8948135,1.2206054,2.7812319,1.9329286,2.5072493,1.3383039,2.7191166,2.9780482,2.4575174,1.35041,2.6347732,2.8595272,2.7438751,1.3162405,2.5567597,2.7844828,2.5734239,0.2800145,0.3209954,0.3149917,0.2550045,0.2550181,0.3103393,0.3194706,0.6992893,0.2537981,0.3170684,0.3034437,1.2530722,0.5197831,0.2974146,0.7344687,1.2048554,0.3067503,0.7595548,0.3181731,0.3451,0.2918473,0.3123006,0.3567171,0.7879463,0.6519315,1.4902827,1.1542209,0.5353352,0.5681316,1.6642074,2.5496082,1.7176371,0.7167586,2.4005972,2.4289461,3.0969551,1.0448857,3.4647212,2.9196058,2.6727253,1.0421364,1.8545629,2.7724018,2.4493096,0.9502216,2.2938183,1.7623626,2.37046
1.934445893/117.0713021,3.5716121,2.7551248,2.4337877,2.8960257,3.0808348,2.8816681,3.8402483,4.2408363,3.0384982,5.6847882,4.7935805,6.1003348,3.1942612,5.3981109,5.77061,5.8766563,4.4211265,7.2512661,6.708839,2.7326264,2.3300929,8.1595114,7.7138484,6.5035358,3.2143384,2.9365494,2.6820143,2.0715896,2.2231958,3.5032736,3.290315,3.9990423,1.3027683,4.8425671,4.7837936,4.7837799,3.2401207,5.5475596,2.9988771,5.9259615,3.162649,6.2414252,5.7760855,8.2089248,4.2916082,6.4394928,6.1120527,8.3437331,0.5145645,0.7822756,1.0971373,0.5522704,0.873381,0.9006462,1.4826227,0.7855423,0.8051774,1.4018428,1.4470088,0.7835002,0.2721894,1.1527934,1.4277862,0.6984374,1.1155853,0.7359555,0.887234,0.7675996,1.0914671,1.6458866,1.1566538,1.3664759,1.8858167,1.7835922,2.2493012,2.2657838,3.4354769,3.6945085,4.4542551,5.5955722,3.2972674,5.928185,6.0403772,7.8683463,5.0167156,6.7373126,7.2696226,9.2414093,5.9516913,6.9252851,8.6754568,8.3092038,7.0815194,9.0398283,8.9859576,9.7064457
9.521021804/389.0982849,3.4912223,2.1928726,3.0567212,2.6803008,1.4845367,2.8462882,3.9696037,2.538058,2.0412769,3.036621,2.4211796,2.7767126,1.7113338,2.1509185,2.2223269,2.6498324,1.3768377,2.3253429,3.0427865,3.2539691,1.5394612,1.8420179,2.4309126,1.9900824,2.3966664,2.1420193,4.3264144,3.207593,1.646746,1.8480721,3.6981571,2.4518952,1.7882209,3.0558034,3.2056267,2.4011165,1.7325962,2.4443024,1.9287762,2.4852953,1.3050837,1.7570113,1.9056682,2.2667184,0.9305003,1.2130624,2.2704543,2.3818947,3.3118609,2.7555158,3.9113964,3.1135884,1.9356516,1.7800701,3.7518289,2.4276973,1.3549843,2.3614632,2.8300801,3.266781,2.6970712,2.626107,2.9924151,2.7387953,0.8421725,2.7377203,1.4810754,2.9507001,1.5337984,1.899489,1.9270395,1.6990988,2.277062,2.5524026,2.8650261,2.3547109,2.6336677,2.4898428,3.0768288,2.6205232,2.5390649,2.5578314,2.9126407,2.6655502,2.0925021,2.1182321,2.931891,2.4577687,1.4639495,1.6430475,3.0834386,1.8512453,2.0383694,1.9789913,1.9536398,1.6550983
